Adj Close,Close,High,Low,Open,Volume,Datetime
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
76056.3671875,76056.3671875,76056.3671875,76056.3671875,76056.3671875,0,2024-11-08 04:21:00+00:00
76034.3515625,76034.3515625,76034.3515625,76034.3515625,76034.3515625,13832192,2024-11-08 04:22:00+00:00
76042.1640625,76042.1640625,76042.1640625,76042.1640625,76042.1640625,6406144,2024-11-08 04:23:00+00:00
76057.09375,76057.09375,76057.09375,76057.09375,76057.09375,131072,2024-11-08 04:24:00+00:00
76030.359375,76030.359375,76030.359375,76030.359375,76030.359375,0,2024-11-08 04:25:00+00:00
76048.53125,76048.53125,76048.53125,76048.53125,76048.53125,0,2024-11-08 04:26:00+00:00
76036.703125,76036.703125,76036.703125,76036.703125,76036.703125,0,2024-11-08 04:29:00+00:00
76032.46875,76032.46875,76032.46875,76032.46875,76032.46875,0,2024-11-08 04:30:00+00:00
76038.03125,76038.03125,76038.03125,76038.03125,76038.03125,0,2024-11-08 04:31:00+00:00
76055.5390625,76055.5390625,76055.5390625,76055.5390625,76055.5390625,0,2024-11-08 04:32:00+00:00
76067.265625,76067.265625,76067.265625,76067.265625,76067.265625,0,2024-11-08 04:33:00+00:00
76063.109375,76063.109375,76063.109375,76063.109375,76063.109375,0,2024-11-08 04:34:00+00:00
76040.9921875,76040.9921875,76040.9921875,76040.9921875,76040.9921875,0,2024-11-08 04:35:00+00:00
76018.2734375,76018.2734375,76018.2734375,76018.2734375,76018.2734375,0,2024-11-08 04:36:00+00:00
75991.28125,75991.28125,75991.28125,75991.28125,75991.28125,0,2024-11-08 04:38:00+00:00
76000.9375,76000.9375,76000.9375,76000.9375,76000.9375,0,2024-11-08 04:39:00+00:00
75999.4609375,75999.4609375,75999.4609375,75999.4609375,75999.4609375,0,2024-11-08 04:40:00+00:00
76008.046875,76008.046875,76008.046875,76008.046875,76008.046875,0,2024-11-08 04:42:00+00:00
75978.484375,75978.484375,75978.484375,75978.484375,75978.484375,0,2024-11-08 04:43:00+00:00
75959.21875,75959.21875,75959.21875,75959.21875,75959.21875,0,2024-11-08 04:44:00+00:00
75957.515625,75957.515625,75957.515625,75957.515625,75957.515625,0,2024-11-08 04:45:00+00:00
75949.5,75949.5,75949.5,75949.5,75949.5,0,2024-11-08 04:46:00+00:00
75937.1953125,75937.1953125,75937.1953125,75937.1953125,75937.1953125,0,2024-11-08 04:47:00+00:00
75924.2578125,75924.2578125,75924.2578125,75924.2578125,75924.2578125,0,2024-11-08 04:48:00+00:00
75912.125,75912.125,75912.125,75912.125,75912.125,0,2024-11-08 04:49:00+00:00
75909.1875,75909.1875,75909.1875,75909.1875,75909.1875,0,2024-11-08 04:50:00+00:00
75931.28125,75931.28125,75931.28125,75931.28125,75931.28125,0,2024-11-08 04:52:00+00:00
75960.4765625,75960.4765625,75960.4765625,75960.4765625,75960.4765625,0,2024-11-08 04:53:00+00:00
75947.234375,75947.234375,75947.234375,75947.234375,75947.234375,0,2024-11-08 04:54:00+00:00
75932.1796875,75932.1796875,75932.1796875,75932.1796875,75932.1796875,0,2024-11-08 04:56:00+00:00
75904.171875,75904.171875,75904.171875,75904.171875,75904.171875,0,2024-11-08 04:57:00+00:00
75905.9375,75905.9375,75905.9375,75905.9375,75905.9375,0,2024-11-08 04:58:00+00:00
75899.484375,75899.484375,75899.484375,75899.484375,75899.484375,0,2024-11-08 04:59:00+00:00
75900.8984375,75900.8984375,75900.8984375,75900.8984375,75900.8984375,36864,2024-11-08 05:00:00+00:00
75901.7421875,75901.7421875,75901.7421875,75901.7421875,75901.7421875,0,2024-11-08 05:01:00+00:00
75933.5625,75933.5625,75933.5625,75933.5625,75933.5625,0,2024-11-08 05:03:00+00:00
75938.390625,75938.390625,75938.390625,75938.390625,75938.390625,786432,2024-11-08 05:04:00+00:00
75899.421875,75899.421875,75899.421875,75899.421875,75899.421875,0,2024-11-08 05:05:00+00:00
75930.875,75930.875,75930.875,75930.875,75930.875,0,2024-11-08 05:07:00+00:00
75948.9140625,75948.9140625,75948.9140625,75948.9140625,75948.9140625,0,2024-11-08 05:09:00+00:00
76020.390625,76020.390625,76020.390625,76020.390625,76020.390625,0,2024-11-08 05:11:00+00:00
76026.71875,76026.71875,76026.71875,76026.71875,76026.71875,172032,2024-11-08 05:12:00+00:00
76045.015625,76045.015625,76045.015625,76045.015625,76045.015625,10362880,2024-11-08 05:14:00+00:00
76007.8125,76007.8125,76007.8125,76007.8125,76007.8125,1318912,2024-11-08 05:16:00+00:00
76024.15625,76024.15625,76024.15625,76024.15625,76024.15625,0,2024-11-08 05:17:00+00:00
76030.125,76030.125,76030.125,76030.125,76030.125,0,2024-11-08 05:18:00+00:00
76027.078125,76027.078125,76027.078125,76027.078125,76027.078125,0,2024-11-08 05:19:00+00:00
76030.03125,76030.03125,76030.03125,76030.03125,76030.03125,0,2024-11-08 05:21:00+00:00
75954.4765625,75954.4765625,75954.4765625,75954.4765625,75954.4765625,0,2024-11-08 05:22:00+00:00
75924.0703125,75924.0703125,75924.0703125,75924.0703125,75924.0703125,0,2024-11-08 05:23:00+00:00
75928.9296875,75928.9296875,75928.9296875,75928.9296875,75928.9296875,2490368,2024-11-08 05:24:00+00:00
75995.4375,75995.4375,75995.4375,75995.4375,75995.4375,24576,2024-11-08 05:25:00+00:00
76017.328125,76017.328125,76017.328125,76017.328125,76017.328125,0,2024-11-08 05:26:00+00:00
76013.1484375,76013.1484375,76013.1484375,76013.1484375,76013.1484375,35672064,2024-11-08 05:28:00+00:00
76018.6328125,76018.6328125,76018.6328125,76018.6328125,76018.6328125,27369472,2024-11-08 05:29:00+00:00
76138.4375,76138.4375,76138.4375,76138.4375,76138.4375,196608,2024-11-08 05:32:00+00:00
76196.8671875,76196.8671875,76196.8671875,76196.8671875,76196.8671875,0,2024-11-08 05:33:00+00:00
76151.546875,76151.546875,76151.546875,76151.546875,76151.546875,987136,2024-11-08 05:34:00+00:00
76113.3828125,76113.3828125,76113.3828125,76113.3828125,76113.3828125,88686592,2024-11-08 05:35:00+00:00
